suburb,address,property_type,bedrooms,bathrooms,parking,land_size,sold_price,sold_date,listing_url
Highton,"138 Barrabool Road, Highton",House,3,1,2.0,743.0,685000,22 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148224452
Highton,"18 Valencay Avenue, Highton",House,5,3,2.0,680.0,1320000,21 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147498812
Highton,"9 Annmaree Road, Highton",House,3,2,2.0,,840000,18 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148173924
Highton,"117/20 Ficinia Mews, Highton",Unit,1,1,1.0,,240000,18 Jul 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-148298860
Highton,"5/21 Glastonbury Drive, Highton",Unit,2,1,1.0,,485000,17 Jul 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-148359980
Highton,"74 South Valley Road, Highton",House,6,3,4.0,631.0,895000,16 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147544024
Highton,"109 South Valley Road, Highton",House,3,2,2.0,657.0,725000,08 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148292148
Highton,"1/10 Basin Rise, Highton",Unit,2,1,1.0,275.0,455000,08 Jul 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-147788784
Highton,"22 Crestmoor Drive, Highton",House,3,2,2.0,647.0,767000,04 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148351224
Highton,"28 Homewood Lane, Highton",House,2,1,2.0,484.0,600000,04 Jul 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148070792
Highton,"34 Lansbury Crescent, Highton",House,5,3,2.0,713.0,1030000,30 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147603968
Highton,"9 Queens Park Road, Highton",House,3,2,1.0,639.0,1017500,27 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148051156
Highton,"167 Mount Pleasant Road, Highton",House,3,1,1.0,734.0,715000,27 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147967848
Highton,"2/7 Cheam Walk, Highton",House,2,1,2.0,334.0,552500,27 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147858060
Highton,"50 Rivergum Drive, Highton",House,5,3,4.0,937.0,3100000,25 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-146454084
Highton,"57 Dryden Way, Highton",House,3,2,2.0,616.0,820000,25 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148197332
Highton,"96 South Valley Road, Highton",House,3,1,5.0,1.0,915000,23 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147583472
Highton,"17 Clifford Street, Highton",House,3,2,2.0,514.0,890000,23 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147928988
Highton,"7 Northbridge Road, Highton",House,4,2,2.0,357.0,785000,23 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147811180
Highton,"32 Cara Road, Highton",House,5,2,2.0,876.0,890000,21 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148153396
Highton,"4-6 Cobb Court, Highton",House,4,2,1.0,526.0,1070000,20 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148186424
Highton,"23 Thornhill Road, Highton",House,4,2,2.0,666.0,760000,19 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148072296
Highton,"9 Highpoint Crescent, Highton",House,3,2,2.0,771.0,1045000,18 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147976936
Highton,"2/11 Carroll Road, Highton",House,4,2,2.0,611.0,1500000,17 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147952212
Highton,"28 Hewat Drive, Highton",House,5,2,2.0,702.0,930000,17 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147395736
Highton,"83 Reigate Road, Highton",House,3,1,1.0,734.0,830000,17 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147999368
Highton,"7 Regal Street, Highton",House,5,2,2.0,300.0,739000,17 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147637900
Highton,"10 Strickland Avenue, Highton",House,3,1,2.0,590.0,728000,17 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148150760
Highton,"53 Broughton Drive, Highton",House,2,1,1.0,276.0,562000,17 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148121256
Highton,"4/25 North Valley Road, Highton",House,2,1,4.0,310.0,470000,17 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148037000
Highton,"2/10 Barwon Boulevard, Highton",Unit,2,1,1.0,201.0,635000,13 Jun 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-148153796
Highton,"3 Aringa Avenue, Highton",House,3,2,2.0,819.0,980000,12 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148116396
Highton,"11 Knollbrook Close, Highton",House,3,2,2.0,665.0,915000,11 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147745284
Highton,"57 Reigate Road, Highton",House,4,1,2.0,724.0,895000,10 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148012044
Highton,"29 Brassey Avenue, Highton",House,3,1,2.0,807.0,805000,10 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147661660
Highton,"10 Remony Avenue, Highton",House,3,2,2.0,1.0,1300000,09 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148049584
Highton,"34 Fogarty Avenue, Highton",House,3,2,2.0,722.0,910000,07 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148023580
Highton,"20 Elizabeth Street, Highton",House,4,1,2.0,644.0,777000,06 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147655728
Highton,"5 Northam Avenue, Highton",House,3,1,2.0,652.0,660000,03 Jun 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147928856
Highton,"5/20 Ficinia Mews, Highton",Apartment,1,1,1.0,,230000,03 Jun 2025,https://www.realestate.com.au/sold/property-apartment-vic-highton-143793052
Highton,"8 Cara Road, Highton",House,4,2,4.0,842.0,862000,31 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147908236
Highton,"45 Stoneleigh Crescent, Highton",House,4,2,2.0,754.0,1225000,30 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147347204
Highton,"105 Glastonbury Drive, Highton",House,3,2,2.0,735.0,795000,30 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147898860
Highton,"13 Murray Street, Highton",House,4,2,1.0,627.0,815000,29 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148078140
Highton,"6/27-29 Montague Street, Highton",Unit,1,1,1.0,133.0,355000,29 May 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-148010772
Highton,"27 Senior Court, Highton",House,4,2,4.0,537.0,821000,28 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147977796
Highton,"6 Highett Road, Highton",House,4,2,2.0,693.0,1065000,23 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148014276
Highton,"147 Stoneleigh Crescent, Highton",House,4,2,2.0,408.0,985000,23 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147860912
Highton,"119 North Valley Road, Highton",House,4,2,2.0,693.0,750000,23 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-146597980
Highton,"1 Shoubra Court, Highton",House,3,1,1.0,658.0,680000,23 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147852540
Highton,"6 Wynfield Drive, Highton",House,3,2,2.0,338.0,760000,22 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147841284
Highton,"20 Northam Avenue, Highton",House,5,2,2.0,650.0,720000,21 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-146024952
Highton,"14 Carramar Court, Highton",House,2,1,1.0,,640000,21 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-148029976
Highton,"182 South Valley Road, Highton",House,3,2,2.0,720.0,797000,20 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147863576
Highton,"13/27-29 Montague Street, Highton",Unit,2,1,1.0,65.0,420000,20 May 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-147729512
Highton,"27 Ferndale Parade, Highton",House,3,1,2.0,538.0,802000,19 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147826200
Highton,"1-4/12 Konrads Crescent, Highton",Unit,6,3,6.0,775.0,1110000,16 May 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-147201916
Highton,"3/11 Jinjella Road, Highton",House,3,2,2.0,330.0,850000,15 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147276796
Highton,"12 Hewat Drive, Highton",House,3,2,2.0,397.0,650000,13 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147904832
Highton,"3 Pinecrest Drive, Highton",House,4,2,3.0,650.0,825000,09 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147832232
Highton,"15/27-29 Montague Street, Highton",Unit,2,1,1.0,69.0,460000,09 May 2025,https://www.realestate.com.au/sold/property-unit-vic-highton-147803300
Highton,"38 Jessica Way, Highton",House,3,2,2.0,833.0,1012000,06 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147828432
Highton,"12 Westbury Terrace, Highton",House,4,2,2.0,723.0,1200000,05 May 2025,https://www.realestate.com.au/sold/property-house-vic-highton-147692764
Ballarat,"710 Macarthur Street, Ballarat Central",House,3,2,6.0,856.0,715000,25 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-ballarat+central-147793604
Ballarat,"26 Pernonie Street, Lucas",House,4,2,2.0,374.0,685000,25 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-lucas-148362048
Ballarat,"11 The Gums, Mount Clear",House,4,2,3.0,977.0,575000,24 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-mount+clear-148881508
Ballarat,"1/244 York Street, Ballarat East",Unit,2,1,1.0,335.0,430000,24 Sep 2025,https://www.realestate.com.au/sold/property-unit-vic-ballarat+east-148887876
Ballarat,"4/1352 Gregory Street, Lake Wendouree",House,2,1,1.0,186.0,415000,24 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-lake+wendouree-148873252
Ballarat,"32 Porters Road, Scarsdale",Other,4,2,10.0,,950000,23 Sep 2025,https://www.realestate.com.au/sold/property-other-vic-scarsdale-147907064
Ballarat,"9 Jarvis Way, Lucas",House,4,2,2.0,576.0,915000,23 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-lucas-148952876
Ballarat,"3 Darlington Street, Alfredton",House,5,2,2.0,840.0,805000,23 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-alfredton-148644716
Ballarat,"16a Napier Street, Black Hill",House,4,2,2.0,527.0,790000,23 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-black+hill-148876568
Ballarat,"13 Blair Street, Golden Point",House,4,2,1.0,,705000,23 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-golden+point-148539696
Ballarat,"246 Victoria Street, Ballarat East",House,3,1,3.0,1.0,700000,23 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-ballarat+east-148930796
Ballarat,"15 Tilbury Street, Winter Valley",House,4,2,2.0,749.0,692500,23 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-winter+valley-148656420
Ballarat,"104 Nelson Street, Ballarat East",House,3,1,1.0,320.0,640000,23 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-ballarat+east-148839940
Ballarat,"111 Bryants Road, Linton",Other,3,1,4.0,,521000,23 Sep 2025,https://www.realestate.com.au/sold/property-other-vic-linton-148868052
Ballarat,"408 Bell Street, Redan",House,3,1,2.0,490.0,501000,23 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-redan-148823368
Ballarat,"3/1112 Ligar Street, Ballarat North",Unit,2,1,1.0,228.0,425000,23 Sep 2025,https://www.realestate.com.au/sold/property-unit-vic-ballarat+north-148959152
Ballarat,"10 Zoe Drive, Mount Helen",House,4,2,2.0,1.0,800000,22 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-mount+helen-148786240
Ballarat,"7 Madeleine Road, Brown Hill",House,4,2,2.0,,640000,22 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-brown+hill-148309772
Ballarat,"20 Paling Street, Ballarat North",House,3,1,6.0,995.0,540000,22 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-ballarat+north-148764240
Ballarat,"2 Dunn Street, Golden Point",House,4,3,2.0,535.0,865000,19 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-golden+point-147861584
Ballarat,"31 Quirk Road, Lucas",House,4,2,2.0,,825000,19 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-lucas-146681696
Ballarat,"7 Brodie Court, Mount Helen",House,4,2,2.0,1.0,780000,19 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-mount+helen-148823384
Ballarat,"16 Harrier Drive, Invermay Park",House,4,2,3.0,760.0,673000,19 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-invermay+park-148946460
Ballarat,"1 Daylesford Road, Brown Hill",House,3,2,2.0,721.0,615000,19 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-brown+hill-148135212
Ballarat,"5 Aubrey Street, Wendouree",House,5,2,4.0,581.0,600000,19 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-wendouree-148822928
Ballarat,"102a Johns Street, Ballarat East",House,3,1,2.0,317.0,545000,19 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-ballarat+east-148982280
Ballarat,"13 Dante Crescent, Bonshaw",House,3,2,2.0,,535000,19 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-bonshaw-148704364
Ballarat,"5 Collins Avenue, Sebastopol",House,3,2,4.0,561.0,486000,19 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-sebastopol-148824316
Ballarat,"5 Rice Street, Ballarat East",House,2,1,4.0,581.0,460000,19 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-ballarat+east-148594028
Ballarat,"29 York Street, Golden Point",House,3,1,1.0,,395000,19 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-golden+point-148704108
Ballarat,"4/243 York Street, Ballarat East",House,2,1,1.0,220.0,355000,19 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-ballarat+east-148874912
Ballarat,"403 Drummond Street North, Lake Wendouree",House,3,1,2.0,405.0,880000,18 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-lake+wendouree-148983332
Ballarat,"55 Willoby Drive, Alfredton",House,4,2,2.0,469.0,700000,18 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-alfredton-148960336
Ballarat,"1 Felix Court, Miners Rest",House,4,2,3.0,704.0,661500,18 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-miners+rest-148945700
Ballarat,"15 Deakes Court, Sebastopol",House,3,1,1.0,,490000,18 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-sebastopol-149018584
Ballarat,"6/115 Albert Street, Ballarat Central",Unit,2,1,1.0,118.0,407000,18 Sep 2025,https://www.realestate.com.au/sold/property-unit-vic-ballarat+central-148994928
Ballarat,"706 Talbot Street South, Redan",House,3,1,2.0,,400000,18 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-redan-148823712
Ballarat,"23 Techaven Street, Delacombe",House,4,2,2.0,476.0,585000,17 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-delacombe-148253600
Ballarat,"20 Beartooth Drive, Winter Valley",House,4,2,2.0,,570000,17 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-winter+valley-148704112
Ballarat,"712 Norman Street, Invermay Park",House,4,2,2.0,686.0,510000,17 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-invermay+park-148946468
Ballarat,"2A James Street, Golden Point",House,2,1,1.0,,440000,17 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-golden+point-148844548
Ballarat,"6 Llewellyn Court, Lucas",House,4,2,2.0,576.0,862500,16 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-lucas-146368276
Ballarat,"18 St Swindons Avenue, Lake Gardens",House,4,2,2.0,627.0,730000,16 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-lake+gardens-148743144
Ballarat,"27 Linkage Street, Bonshaw",House,5,2,2.0,406.0,590000,16 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-bonshaw-147310736
Ballarat,"7 Arthur Street, Alfredton",House,3,2,3.0,,542000,16 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-alfredton-148139644
Ballarat,"129A Eureka Street, Ballarat East",House,3,2,2.0,301.0,535000,16 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-ballarat+east-148714932
Ballarat,"1022 Norman Street, Wendouree",House,3,1,1.0,669.0,515000,16 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-wendouree-148945380
Ballarat,"5/221 York Street, Ballarat East",Unit,2,1,1.0,217.0,380000,16 Sep 2025,https://www.realestate.com.au/sold/property-unit-vic-ballarat+east-148823380
Ballarat,"15 Mount Helen Drive, Mount Helen",House,6,2,4.0,2.0,1076000,15 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-mount+helen-147779084
Ballarat,"4A Allan Street, Buninyong",House,4,3,4.0,2.0,935000,15 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-buninyong-148534252
Ballarat,"202 Humffray Street North, Ballarat East",House,3,1,4.0,1.0,745000,15 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-ballarat+east-147366600
Ballarat,"35 St Mirren Drive, Nerrina",House,4,2,2.0,605.0,710000,15 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-nerrina-148764856
Ballarat,"412 Raglan Street South, Ballarat Central",House,3,2,3.0,505.0,710000,15 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-ballarat+central-147120576
Ballarat,"27A Ryan Street, Brown Hill",House,4,2,2.0,751.0,670000,15 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-brown+hill-148644156
Ballarat,"142 Cuthberts Road, Alfredton",House,3,2,2.0,740.0,636000,15 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-alfredton-148942384
Ballarat,"80 Lugano Avenue, Alfredton",House,4,2,2.0,449.0,623500,15 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-alfredton-148413220
Ballarat,"13 Napier Street, Black Hill",House,3,1,2.0,339.0,610000,15 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-black+hill-148867528
Ballarat,"615 Bond Street, Golden Point",House,3,1,1.0,969.0,595000,15 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-golden+point-144523152
Ballarat,"100 Giot Drive, Wendouree",House,3,2,2.0,427.0,525000,15 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-wendouree-145505780
Ballarat,"1155 Grevillea Road, Wendouree",House,3,1,2.0,587.0,465000,15 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-wendouree-148833036
Ballarat,"2/504 Lydiard Street, Soldiers Hill",House,2,1,1.0,226.0,435000,15 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-soldiers+hill-147920056
Ballarat,"14 Walsh Avenue, Ballarat North",House,3,1,2.0,,410000,15 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-ballarat+north-148348784
Ballarat,"7 Mullingar Drive, Alfredton",House,5,3,2.0,576.0,775000,13 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-alfredton-148814660
Ballarat,"3 Winston Court, Wendouree",House,4,2,4.0,680.0,596000,13 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-wendouree-148797404
Ballarat,"104 Tantaus Road, Dereel",House,4,2,8.0,,935000,12 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-dereel-148827204
Ballarat,"27 Barton Court, Smythesdale",House,4,2,11.0,2.0,930000,12 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-smythesdale-148777064
