suburb,address,property_type,bedrooms,bathrooms,parking,land_size,sold_price,sold_date,listing_url
Werribee,"26 Stewart Drive, Werribee",House,4,2,2.0,527.0,751500,22 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148874300
Werribee,"10 Becontree Grove, Werribee",House,4,2,2.0,294.0,705000,22 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148688408
Werribee,"7 Gibbons Street, Werribee",House,2,1,2.0,565.0,660000,22 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148889524
Werribee,"19 Oradala Rise, Werribee",House,3,2,2.0,,555000,22 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148947280
Werribee,"82 Fairhall Avenue, Werribee",House,3,2,2.0,,500000,22 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148592692
Werribee,"25 Diamond Drive, Werribee",House,3,2,1.0,604.0,690000,20 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148890828
Werribee,"5/14 Manly Street, Werribee",Unit,2,1,1.0,,240000,20 Sep 2025,https://www.realestate.com.au/sold/property-unit-vic-werribee-148928212
Werribee,"2/14 Manly Street, Werribee",Unit,2,1,1.0,,240000,20 Sep 2025,https://www.realestate.com.au/sold/property-unit-vic-werribee-148927956
Werribee,"4/14 Manly Street, Werribee",Unit,1,1,1.0,,203500,20 Sep 2025,https://www.realestate.com.au/sold/property-unit-vic-werribee-148928216
Werribee,"9 Midland Grove, Werribee",House,4,2,2.0,392.0,955000,19 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148607600
Werribee,"16 Ivy Court, Werribee",House,4,2,2.0,524.0,905000,19 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148112888
Werribee,"3 McDonald Street, Werribee",House,3,2,2.0,508.0,750000,19 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148916228
Werribee,"23 Wedgebill Circuit, Werribee",House,2,1,1.0,,410000,19 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148859848
Werribee,"2 Linda Court, Werribee",House,3,2,2.0,530.0,703250,18 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148914836
Werribee,"35 Rowes Road, Werribee",House,3,2,2.0,524.0,696500,18 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148832788
Werribee,"17 Cressy Street, Werribee",House,4,2,2.0,,650100,18 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148856552
Werribee,"6/14 Manly Street, Werribee",Unit,2,1,1.0,,255000,18 Sep 2025,https://www.realestate.com.au/sold/property-unit-vic-werribee-148933932
Werribee,"11 Hansel Drive, Werribee",House,4,3,2.0,400.0,721000,17 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148297140
Werribee,"26 Charter Road, Werribee",House,4,2,2.0,522.0,840000,16 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148513228
Werribee,"43 Indura Drive, Werribee",House,4,2,2.0,,656000,15 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148782456
Werribee,"13 Murrindal Street, Werribee",House,4,2,2.0,375.0,755000,12 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148898868
Werribee,"1/122 Shaws Road, Werribee",Unit,2,1,1.0,,430000,12 Sep 2025,https://www.realestate.com.au/sold/property-unit-vic-werribee-148720128
Werribee,"22 Cassidy Road, Werribee",House,4,2,2.0,625.0,1050000,11 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148780936
Werribee,"78 Shipwright Parade, Werribee",House,4,2,4.0,588.0,825000,11 Sep 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148493820
